Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
176,APL Apollo,"5,00,68,61,560",18.04,"11,79,42,000",0.3367,"2,11,11,47,991",2137
177,Page Industries,"5,00,32,69,906",431.03,"9,26,70,000",0.6809,"53,70,07,622",23853
178,Exide Industries,"4,97,72,69,992",5.85,"16,25,14,000",0.3996,"2,02,23,58,973",5208
179,Escorts Limited,"4,96,39,04,310",45.77,"17,06,49,000",0.1824,"1,06,73,65,648",3920
180,Punjab &amp; Sind Bank,"4,96,05,47,568",0.73,"11,30,08,000",0.8129,"48,96,77,609",8735
181,Federal Bank,"4,74,13,25,075",1.94,"63,42,26,000",0.6182,"1,48,12,36,125",12641
182,KPIT Technologies,"4,73,93,86,061",17.47,"9,64,74,200",0.3281,"58,72,14,856",6698
183,Coromandel,"4,62,34,52,198",15.67,"28,67,74,000",0.4612,"2,66,09,83,137",5064
184,UPL,"4,57,84,25,121",6.1,"-25,09,27,000",1.9654,"5,19,32,02,344",13054
185,Gujarat Gas,"4,55,09,12,808",6.61,"18,87,09,000",1.2083,"1,89,17,29,416",1034
186,New India Assurance,"4,51,93,31,158",2.74,"17,00,18,000",0.8508,"5,23,83,11,793",13926
187,3M India,"4,50,86,05,693",400.23,"8,89,23,000",0.2997,"50,10,35,515",1132
188,Biocon,"4,43,69,76,491",3.71,"30,10,24,000",0.4859,"1,72,37,35,013",15000
189,BSE,"4,37,47,17,096",32.29,"11,15,69,000",0.4715,"11,64,45,907",485
190,Fortis Healthcare,"4,29,99,52,710",5.7,"11,91,69,000",0.2196,"83,10,86,583",13010
191,National Aluminum &amp; Alloy,"4,22,31,00,428",2.3,"23,01,28,000",2.133,"1,60,55,00,572",5525
192,LIC Housing Finance,"4,17,22,09,562",7.58,"73,15,00,000",1.3554,"1,05,59,72,566",2467
193,AIA Engineering,"4,15,69,27,257",44.07,"17,94,51,000",0.4299,"57,55,01,485",1287
194,Hindustan Copper,"4,13,34,91,744",4.27,"4,85,87,700",0.2585,"20,57,85,674",1476
195,Gujarat Fluorochemicals,"4,00,07,70,640",36.42,"7,19,44,800",0.0659,"51,64,00,751",2830
196,Dalmia Bharat,"3,99,24,35,159",21.29,"12,88,43,000",0.5128,"1,77,11,87,950",5642
197,Coforge,"3,97,43,32,720",59.59,"14,10,56,000",1.5383,"1,10,67,23,824",23224
198,ZF Commercial Vehicle Control Systems India,"3,95,90,35,880",208.73,"6,65,24,500",0.0836,"46,03,43,930",2181
199,NLC India,"3,93,14,31,644",2.84,"42,59,57,000",1.617,"1,78,82,91,162",11246
200,Glenmark Pharmaceuticals,"3,92,53,95,010",13.91,"-3,90,40,500",0.2176,"1,48,46,75,873",15415
201,Jubilant FoodWorks,"3,89,93,63,277",5.92,"5,84,38,100",0.2385,"68,16,32,602",29346
202,Blue Star,"3,88,58,93,101",18.9,"7,41,12,500",0.4005,"1,16,72,75,840",2866
203,Apar Industries,"3,82,02,91,106",94.8,"14,12,22,000",0.5214,"1,97,25,29,666",1428
204,Max Financial Services,"3,79,86,85,400",11.01,"5,00,90,600",0,"5,62,38,16,968",12
205,Endurance Technologies,"3,74,51,60,995",26.6,"9,66,85,500",0.3195,"1,16,92,06,173",3588
206,Indraprastha Gas,"3,70,87,51,059",5.3,"30,77,90,000",0.8896,"1,68,80,32,913",710
207,Bandhan Bank,"3,63,75,54,365",2.26,"35,54,40,000",0.8042,"1,50,56,21,424",61247
208,Carborundum Universal,"3,63,43,23,722",19.1,"7,83,98,900",0.2175,"55,81,45,925",2160
209,Gland Pharma,"3,63,35,54,559",22.06,"13,96,88,000",0,"68,27,01,294",4752
210,Timken India,"3,60,98,68,027",47.4,"6,31,87,600",0.038,"35,07,93,035",1256
211,CRISIL,"3,59,78,06,543",49.2,"10,48,17,000",1.3142,"38,12,91,416",4603
212,JK Cement,"3,58,69,06,268",46.42,"19,68,23,000",0.3848,"1,39,32,06,439",3941
213,Deepak Nitrite,"3,58,30,24,312",26.27,"13,06,51,000",0.3454,"90,30,20,460",1694
214,Indian Telephone Industries,"3,56,21,72,449",3.56,"-1,90,62,000",0,"17,43,36,946",1665
215,SKF India,"3,54,87,61,198",71.78,"8,20,69,000",0.6684,"53,75,98,011",1662
216,Apollo Tyres,"3,54,10,97,850",5.56,"36,72,70,000",0.1064,"3,06,00,54,279",7835
217,Ipca Laboratories,"3,50,49,31,076",13.81,"12,36,31,000",0.1679,"86,45,31,667",16167
218,Delhivery,"3,40,45,39,574",4.62,"-2,95,42,500",0,"98,15,45,565",17256
219,Grindwell Norton,"3,40,32,10,233",30.72,"6,40,01,900",0.5651,"32,07,84,414",2178
220,Emami,"3,27,31,61,167",7.5,"9,29,96,200",1.2863,"42,09,30,449",3205
221,EIH Limited,"3,24,23,26,682",5.17,"8,74,61,000",0.2617,"29,12,21,923",9105
222,Syngene International,"3,23,33,39,494",8.06,"8,04,84,100",0.112,"42,05,73,618",6847
223,Sun TV Network,"3,18,12,58,153",7.87,"31,16,17,000",2.4985,"50,39,02,438",979
224,Tata Chemicals,"3,14,69,12,741",12.35,"16,52,10,000",1.6786,"1,86,03,00,777",4622
225,KIOCL,"3,10,45,09,971",5.11,"39,42,330",0,"26,84,95,092",120
226,NBCC India,"3,07,28,28,542",1.71,"6,19,48,900",0.397,"1,10,15,50,427",1367
227,Vedant Fashions,"3,03,75,75,297",12.51,"6,60,83,600",0.9059,"16,48,12,649",409
228,Crompton Greaves Consumer Electricals,"3,02,43,61,836",4.7,"6,96,01,200",0.766,"86,02,73,180",2190
229,JBM Auto,"2,96,49,28,467",25.07,"2,94,35,500",0.0651,"57,12,16,889",2063
230,Ratnamani Metals &amp; Tubes,"2,86,03,99,079",40.81,"10,51,97,000",0.3634,"60,98,26,334",2637
231,"Sumitomo Chemical
 India","2,77,61,74,733",5.56,"5,75,84,300",1.3141,"33,95,14,579",1642
232,Paytm,"2,75,03,79,877",4.32,"-16,76,22,000",0,"1,20,29,74,745",17964
233,Bayer Crop Science,"2,72,55,08,370",60.28,"11,38,57,000",2.7122,"61,63,61,953",1321
234,Laurus Labs,"2,70,79,14,058",5.02,"2,84,60,500",0.1905,"60,76,82,150",5753
235,Hatsun Agro Products,"2,70,30,82,236",12.13,"4,31,97,500",0.5984,"96,37,63,788",5541
236,Aarti Industries,"2,65,81,01,906",7.33,"4,75,74,600",0.2445,"76,81,19,168",6185
